NU_SEQUENCIAL;SG_UF_PROVA;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TP_STATUS_REDACAO;NU_NOTA_REDACAO
4047828;RN;;;0;0;0;0;;;;;;
3238238;AM;2;1;1;1;1;1;416.8;399.3;446.1;419.5;1;420
176570;MA;2;2;1;1;1;1;466.7;427.1;521.2;568.7;1;800
1198957;MS;;;0;0;0;0;;;;;;
2664427;SC;2;1;1;1;1;1;572.2;612.2;555.8;568.9;1;680
1117897;CE;2;1;1;1;1;1;398.4;396.9;353.4;421;7;0
4081427;AL;4;1;1;1;1;1;500;634.6;591.9;453.4;1;880
1123738;ES;;;1;1;1;1;418.6;375.2;451.3;519.9;1;560
1532369;PB;2;1;1;1;1;1;468.3;421.2;437.2;382.4;1;480
505445;MS;2;1;1;1;1;1;559.5;557.8;560.3;770.4;1;720
366444;RJ;;;0;0;0;0;;;;;;
1189217;PB;;;0;0;0;0;;;;;;
2478506;SP;4;1;1;1;1;1;582.1;564.1;560.2;673.5;1;620
2936000;MG;4;1;0;1;1;0;;405.4;509.8;;1;680
1660307;MG;;;0;0;0;0;;;;;;
1867337;GO;;;1;1;1;1;519.1;650.9;566.4;712.8;1;780
4158753;AC;;;1;1;1;1;475.5;434.9;520.3;451.9;1;560
2974115;SP;;;1;1;1;1;603.9;663.7;623.2;695.5;1;720
2180892;RN;;;1;1;1;1;556.6;576.3;543.7;440.2;1;580
474312;PA;;;1;1;1;1;441.3;370.5;434.7;409.8;1;560
3238694;BA;;;1;1;1;1;460.9;543.1;473.8;421.2;1;420
747141;PI;;;1;1;1;1;432;496.3;515.1;506.9;1;640
138020;MG;;;0;1;1;0;;368.8;356.3;;1;440
1154478;SP;2;1;0;0;0;0;;;;;;
260903;MG;2;1;1;1;1;1;400.1;404.1;472.5;386;1;660
1873632;RS;;;0;1;1;0;;445.1;538;;1;660
1681625;SP;2;1;0;0;0;0;;;;;;
3956068;SP;;;1;1;1;1;609.1;625.4;581.6;647.2;1;560
280597;PI;;;1;1;1;1;544.2;701.6;603.5;720.7;1;900
3850759;RJ;;;1;1;1;1;492.6;528.6;551.3;581.6;1;720
3427120;TO;;;1;1;1;1;498.6;428.1;543.5;486.9;1;560
472104;PE;2;1;1;1;1;1;503.8;509.2;457.5;533.8;1;860
2129331;AL;2;1;1;1;1;1;375.5;448.6;501.3;537.5;1;840
4007917;RO;;;0;0;0;0;;;;;;
523509;PB;;;1;1;1;1;546;582.9;566.4;689.6;1;760
1337702;MS;;;1;1;1;1;515.8;554.5;557.4;596.7;1;820
4087506;MG;;;1;1;1;1;547.4;563;534.7;485.8;1;500
4264372;BA;;;0;1;1;0;;547.8;345.4;;1;920
3636984;SP;2;1;0;0;0;0;;;;;;
792391;SE;2;1;1;1;1;1;431.5;372.8;348.2;473.4;1;280
1841945;SP;;;0;0;0;0;;;;;;
2141431;SP;;;1;1;1;1;501.9;526.2;569.7;498.6;1;820
